,Chengyu,Definition
174,光复旧物,"Song Sima Guang's ""Zizhitongjian, Volume 91, Taixing Three Years of Emperor Yuan of Jin"": ""(Sima Bao) likes to read but is weak and unbroken, so it is difficult."""
175,利用厚生,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 34: ""It's just that I can't tell. After half a day, Fang choked and said: 'You have changed everything from now on!'"""
176,一瓣心香,"""Book of Zhou, Xiao Daquan Biography"": ""If life is like a cloud in the morning, I really don't want to do it after the long rope is the first scene."""
177,临事而惧,"Tandoori Fu's ""Autumn Rain Sigh"": ""The wind is long and the rain is one after another, and the four seas and eight deserts are the same cloud."""
178,明德惟馨,"Yuan Qiaoji's ""Dream of Yangzhou"" 2nd fold: ""Today I am bored, so I come here to play in Cuiyun Tower. The little official is only worried about alcohol and illness, and it will be a good day."""
179,蒲柳之姿,"""The Book of the Later Han Dynasty: Biography of Liang Ji"": ""He is a kite and a jackal."""
180,读书种子,"Ming Wu Cheng'en's ""Journey to the West"" Chapter 14: ""Sanzang...hurriedly gather soil and burn incense, and look eastward to pray earnestly."""
181,哲人其萎,"Tandoori Fu's ""Recovering Sorrow"" poem: ""Lu Yan listens to the boy, talks and laughs and seeks the title of the prince."""
182,桴鼓相应,"""Book of Songs, Wang Feng, Zhonggu Youbei"": ""If a woman is divorced, it will scream. If you meet someone, you will not be polite."""
183,和气致祥,"""Historical Records: Qin Shihuang's Book"": ""(Hu Hai) killed (Li) Si, (Feng) removed the disease, and appointed Zhao Gao. What a pain!"
184,铸剑为犁,"Pre-Qin Zuo Qiuming ""Zuo Zhuan: Dinggong Thirteen Years"": ""Three folds of knowledge are good doctors."""
185,鸿鹄将至,"Sima Qian of the Western Han Dynasty, ""Records of the Grand Historian, Preface to the Chronology of the Marquis of Heroes"": ""The oath of nobility says: 'Make the river like a belt, the Taishan like a force, the country is Yongning, Yuan and Miao descendants.'"""
186,止戈为武,"Han Yingshao's ""Customs, Voices and Buildings"": ""Gengli changed his name and changed his surname, he was a good person, and he was hidden in the Song Dynasty. After a long period of time, he suffered hardships. Hearing that the guests in his house attacked the building, itchy, and he couldn't help but speak out. , said: 'He is good or not.'"""
187,折戟沉沙,"""Book of Songs, Daya, Volume A"": ""When the phoenix sings, it is in the high hill; when the phoenix tree is born, it is in the morning sun."""
188,一鸣惊人,"""The Analects of Confucius, Zihan"": ""There are beautiful jades in this country, and they are hidden in the cloud, and they are sold when they are sought after?"""
189,沾沾自喜,"""Book of Songs, Tang Feng, Precautions"": ""Be prepared to pay, and three stars are in the sky."""
190,不寒而栗,"""The Biography of Zou Yang in Han Dynasty"": ""If you decorate your heart with a humble heart, why can't the gate of the king be dragged by a long robe?"""
191,老当益壮,"""Han Book of Emperor Gaodi Ji Shang"": ""The officials and soldiers are all from Shandong, day and night, and they look forward to returning, and they can make great achievements if they use them sharply."""
192,穷凶极恶,"""Gongyang Biography: The Twelve Years of Duke Wengong"": ""House is a land for water? The meander of the river is sparse, and the river is a thousand miles away."""
193,死灰复燃,"""Songs of Chu: A Long Journey"": ""When sad times and customs are forced to embarrass, I originally traveled away lightly."""
194,夜郎自大,"""The Analects of Confucius: Shuer"": ""You must also be afraid of things, and those who are willing to make plans."""
195,见利忘义,"""The Analects of Confucius: Ba Yi"": ""Guan Ju is happy but not obscene, sad but not hurt."""
196,多多益善,"Song Lu You's ""Southern Tang Book: Song Qiqiu Biography"": ""It is said that there are 100,000 elite soldiers in the south of the Yangtze River, and the Yangtze River can be regarded as 100,000."
197,独当一面,"Southern Dynasties Song Fan Ye's ""Book of the Later Han: Ying Shao Biography"": ""In the past, the people of Zheng used dry mice as their haircuts, and they were placed in Zhou; Song Yufu also treasured Yanshi, with ten weights. Laughter, gentle people, nothing is like Zan."""
198,破釜沉舟,"""Shangshu, Wucheng"": ""Zhenxin Mingyi, Chongde repays merit, and the world is governed by the arch."""
199,后来居上,"Jia Yi of the Western Han Dynasty wrote in ""Guo Qin Lun"": ""Therefore, let the people of the world listen with their ears, stand with their feet, and keep their mouths closed without speaking."""
200,高风亮节,"Han Liu Xiang's ""Said Yuan Jianben"": ""Sit while tired, and eat while standing on a tripod."""
201,安居乐业,"""The Biography of Huan Tan and Feng Yan in the Later Han Dynasty"": ""Also see the decree to decide things, the severity is not uniform. Or one thing is different, the same crime is different, and the traitor has a reason to be a city."""
202,一举两得,"""Zuo Zhuan, Xi Gong Four Years"": ""If the tribute is not received, it is the sin of widowhood. Dare not to give it together? If the king of Zhao is no longer, you should ask the waterfronts!"""
203,得心应手,"Pre-Qin Zuo Qiuming's ""Zuo Zhuan, Xuangong Two Years"": ""The so-called 'people's unscrupulous' in ""Poems"" is said to be poured by sheep! The disabled people will succeed."""
204,起死回生,"""Book of Songs, Xiaoya, Jienan Mountain"": ""I look in the four directions, and I am stunned."""
205,见异思迁,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"" 60th chapter: ""It turns out that Cao Cao returned from defeating Ma Chao. He was proud of his ambitions, and he drank every day."
206,外强中干,"Tang Jiadao's ""Swordsman"" poem: ""Ten years of sharpening a sword, but the frost blade has never been tried. Today, I am like a king, who is wrong?"""
207,日暮途穷,"""Zuo Zhuan, Aiyuan Year"": ""The more ten years of life and the gathering, and the ten years of teaching, twenty years later, Wu Qi is a marsh!"""
208,有备无患,"""Yi Qian"": ""Humble, respect and light, humble and insurmountable."""
209,有名无实,"Qing Liang Zhangsaw's ""Langji Cong Tan ,  Twenty-Four Bridges"": ""Yusheng was trained by Mr. Fang Chashan, so his poetry and writing are very different."""
210,临危不惧,"Tang Yu Shinan's ""Pipa Fu"": ""May a hundred years of life have a long life, and a thousand-dollar smile."""
211,倒行逆施,"Ming ,  Natural Chisou ""Stone Nod ,  Houguan County Martyr Girl Fighting Enemy"": ""Ms. Shentu is already pregnant, and she will be satisfied in October... Having a son, love is like a treasure."""
212,幸灾乐祸,"""Zuo Zhuan: The Three Years of Duke Zhao"": ""Yu Fa has such a variety, what can Yu Xi do?"""
213,两袖清风,"""Zuo Zhuan: The Sixteenth Year of Chenggong"": ""The Japanese minister was envoy to Chu, and the master asked Jin's bravery again. Take your time.'"""
214,前功尽弃,"""Luo Shen Fu"" by Cao Zhi of the Wei Dynasty of the Three Kingdoms: ""(Luo Shen) is also shaped like a frightening dragon and graceful like a dragon."""
215,明察秋毫,"""Book of Changes: Cologne"": ""If it is transformed and cut, it will be changed; if it is pushed and implemented, it will exist in the passage; the spirit will make it clear, and it will exist in its people."""
216,出尔反尔,"""The Biography of Fang Yanqian in the Northern History"": ""The uncle was arrogant and arrogant. He had no fear, he was presumptuous by others, and he was addicted to lust."
217,一毛不拔,"""Book of Jin, Wang Daozhuan"" records: some celebrities in the south of the Jin Dynasty sometimes gathered in the new pavilion. At one point, some people were saddened by the precarious situation and began to cry relatively."
218,水深火热,"Jin Yuanhao asked about the poem ""Sending to the Xixi Xiang Zen Master"": ""The door is still alive, and the fish is still alive."""
219,曲高和寡,"The second fold of the first book of Yuan Wang Shifu's ""The Story of the West Chamber"": ""My old lady is serious in running the family, and she is as cold as ice."""
220,九死一生,"""Mencius Gongsun Chou Shang"": ""Everyone who has four ends in me, knowledge is expanded and filled, just like the beginning of fire, and the beginning of spring."""
221,墨守成规,"""Book of Wei Zuying Biography"": ""The article must come out of the box, become a family, how can we live together?"""
222,纸上谈兵,"Western Han Dynasty Liu Xiang's ""Warring States Policy Han Ce 1"": ""Qin's horses are good, and the army of soldiers, who are in front of and behind, and three in their hoofs, can't be counted."""
223,四分五裂,"""Book of Shang Jun Hua Ce"": ""To kill is to kill, although it is OK to kill."""
224,狐假虎威,"""Lv's Spring and Autumn Period: Judgment"": ""Although poor and humble, it is not for profit."""
225,花言巧语,"""Mencius Wanzhang Xia"": ""Yin received Xia, Zhou received Yin, and he did not hesitate. Today is fierce, how should he be received?"""
226,脚踏实地,"""Zhuangzi: The World in the World"": ""I am ordered to drink ice in the evening. Is my inner heat related?"""
227,胸有成竹,"""The Biography of Cui Hao in Wei Shu"": ""You Cao regards this person as slender and weak, unable to bend a bow and hold a spear in his hands, and his chest is more than a soldier's."""
228,明目张胆,"""Zhuangzi: The Great Master"": ""Zi Si, Ziyu, Zili, and Zilai said to each other: 'Who can take Wu as the head, life as the spine, death as the rib, and who knows that life and death are one body? I am friends with him.' The four of them looked at each other and smiled."
229,口蜜腹剑,"""Song History, Wenyuan Biography VII, Xiong Ke"": ""Kid young and handsome, not only long, good at learning and good at writing, Dr. Hu Xianqizhi of the county, said: 'Zi Xue is old in years, and he should show his writing in the future.' """
230,走马观花,"Jin Wang Jia's ""Supplementary Notes"" Volume 1: ""When it is not used, it is often like a dragon and tiger singing in the box."""
231,司空见惯,"""Poetry, Zhaonan, Lamb"": ""Retire food from the public, and accept the snake and the snake."""
232,双管齐下,"""The Biography of Liu Penzi"" in the Book of the Later Han Dynasty: ""The so-called ""Iron in the Iron"" is the best among the mediocre."""
233,道听途说,"Qing, Zhang Yuangeng's ""Zhang Shi Yanyan, Chen Youshi"": ""I am invited to the boat, and the tea is over and the game is played, and it is as happy as my life."""
234,乘风破浪,"""Mencius: Li Lou Shang"": ""There is a reputation for fear, and there is a destruction for seeking perfection."""
235,一筹莫展,"In the Southern Song Dynasty, Liu Yiqing's ""New Words of the World: Youmei"": ""I sighed when I was sentenced: 'I want to hear the Huating Crane, can I hear it again?'"""
236,黑白分明,"Qing Li Lvyuan's ""Different Road Lamp"" Chapter 14: ""All the good things of the past are all there, and Tan Xiaoruo has become an ancient person. The feeling of the past and the past is sad and unforgettable."""
237,迫不得已,"""Book of Jin: The Biography of Que Xu"": ""The prefect of Yongzhou moved tiredly. Emperor Wu sent him off at the East Hall, and he asked him: 'Why do you think you are like this?' He replied: 'The ministers should take virtuous and good strategies, and be the best in the world, just like Guilin. One of the branches is the piece of jade from Kunshan.'"""
238,沧海一粟,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"" No. 57: ""Pang Shiyuan is not a talent of a hundred miles."""
239,孤注一掷,"Western Han Dynasty Liu Xiang's ""Warring States Policy: Qi Ce Four"": ""The daughter of the North Palace is safe and healthy? She is completely surrounded by her, she will not marry when she is old, and she will support her parents. They are all those who lead the people out of filial piety. Hu So far it has not been up to now.”"
240,出类拔萃,"Tang Liu Yuxi's poem ""Revisiting Xuanduguan"": ""Where is the Taoist who planted peach now, the former Liu Lang is here again."""
