,Chengyu,Appearances,Topic,Definition,Explanation,Frequency,Pinyin,English Definition,English Explanation,Example
43,荆棘载途,1,financial news,《元史·完泽传》：“元贞以来，朝廷恪守成宪，诏书屡下，散财发粟，不惜巨万，以颁赐百姓，当时以贤相称之。”,比喻天下太平。,1,jīng jí zài tú,"""Yuan Shi Wanze Biography"": ""Since Yuan Zhen, the imperial court has abided by the constitution, issued edicts repeatedly, distributed wealth and made millet, and did not hesitate to give it to the people.",It is a metaphor for the peace of the world.,（新华社记者胡璐） 当地时间8月23日，美方声称将提高对约5500亿美元中国输美商品加征关税的税率。这是以非理性的霸蛮亢奋，为当下已经荆棘载途的中美经贸往来之路再添新堵。
44,回光返照,2,Hong Kong - Macau politics,《荀子·富国》：“有掎挈伺诈，权谋倾覆，以相颠倒，以靡敝之。”,形容心领神会。,2,huí guāng fǎn zhào,"""Xunzi ,  Fuguo"": ""There are tricks and tricks to deceive, the overthrow of power and conspiracy, the inversion of the phase, and the embarrassment of it.""",Describe the heart understanding.,乱港暴力分子再怎么鼓噪，也不过是回光返照而已。
45,祸福相依,1,mainland China politics,《后汉书·李固传》：“昔尧殂之后，舜仰慕三年，坐则见尧于墙，食则睹尧于羹。”,写物-物品-_-食物,1,huò fú xiāng yī,"""The Biography of Li Gu in the Book of the Later Han Dynasty"": ""After Yao died, Shun admired him for three years. When he sat, he saw Yao on the wall, and when he was eating, he saw Yao on the soup.""",Writing objects-objects-_-food,疫情再次提醒我们，作为生活在同一个星球上脆弱的人类，中美17.3亿民众祸福相依，休戚与共。
46,惠风和畅,1,culture,南朝陈·徐德言《破镜》诗：“镜与人俱去，镜归人未归，当复姮娥影，空留明月辉。”唐·白居易《长恨歌》：“惟将旧物表深情，钿合金钗寄将去。钗留一股合一扇，钗擘黄金合分钿。”,写人-德才-(23)偏狭-偏心,1,huì fēng hé chàng,"The poem ""Broken Mirror"" by Chen Xu Deyan of the Southern Dynasty: ""The mirror goes away with people, but the mirror returns to people and never returns. When the shadow of Heng'e is restored, the bright moon is left empty."" The hairpin will go away. The hairpin leaves one strand and one fan, and the hairpin and the gold combine to divide the hairpin.""",Writing about people - virtue and talent - (23) parochial - eccentric,新华社武汉4月8日电 天朗气清，惠风和畅，满城樱花竞相绽放。
47,国无宁日,1,mainland China politics,晋·何法盛《晋中兴书》卷七：“小儿辈厌家鸡，爱野雉，皆学逸少书。”,旁：广；俊彦：才智过人的人。向各方面征求贤才。,1,guó wú níng rì,"Jin He Fasheng's ""Jin Zhongxing Shu"", Volume 7: ""The younger generation hates chickens, loves wild pheasants, and they all learn Yi Shaoshu.""",Pun: wide; Junyan: people of great talent. Soliciting wise people from all directions.,然而，人们看到的是，世界上一些发展中国家和地区，按照西方模式进行“颜色革命”，带来的不是经济发展、政治稳定和社会进步，而是政局动荡、社会分裂乃至国无宁日。这些事实，印证了中国道路的正确性，也从反面深刻地教育了人们：既不能走封闭僵化的老路，也不能走改旗易帜的邪路。
48,瓜瓞绵绵,1,culture,《史记·淮阴侯列传》：“夫功者难成而易败，时者难得而易失也。时乎时，不再来。”,形容能说会道，善于言辩。,1,guā dié mián mián,"""Historical Records: Biography of the Marquis of Huaiyin"": ""Fu Gong is hard to achieve and easy to lose, and it is rare and easy to lose. When it is time, it will not come again.""",It is a description of a person who can speak well and is a good speaker.,忘记了唐诗宋词，孔子屈原，昆曲京剧，湮没了“昔我往矣，杨柳依依；今我来思，雨雪霏霏”这些“无用”的东西，中国人除了黄皮肤、黑头发，在多元的世界里，我们靠什么让五千年屹立不倒的华夏文明继续瓜瓞绵绵？我们的孩子将从哪里得到民族自信与民族魂的滋养、欣赏中华民族的伟大与曼妙？
49,非我族类,1,International news,旧谚：“好男不吃分家饭，好女不穿嫁时衣。”,比喻读书勤奋。,1,fēi wǒ zú lèi,"There is an old saying: ""A good man does not eat from a family, and a good woman does not wear wedding clothes.""",It is a metaphor for diligent study.,中国国有企业是独立的市场主体，自主经营、自负盈亏、自担风险、自我约束、自我发展，平等地与其他所有制企业参与市场竞争。可是，美国一些人却死守“非我族类，其心必异”的教条，把中国国有企业视为“眼中钉”，他们凭空捏造，恶意诋毁，大肆进行污名化、妖魔化。
50,俯首帖耳,2,International news,唐·杜甫《朝献太清宫赋》：“九天之云下垂，四海之水皆立。”,听起来不舒服的话（多指尖锐、中肯的劝告或批评）。,2,fǔ shǒu tiē ěr,"Tandoori Fu's ""Chao Xian Taiqing Palace Fu"": ""The clouds of the nine heavens descend, and the waters of the four seas stand.""","Words that sound uncomfortable (mostly sharp, pertinent advice or criticism)",从“断供”世卫组织到发公开信，再到如今宣布将“退群”，特朗普政府针对世卫组织的恫吓打压有着清晰的时间线。层层加码、气势汹汹，极尽诬蔑抹黑，是赤裸裸的霸凌。其目的就是胁迫、威逼世卫组织对美国俯首帖耳，企图将世卫组织公器私用，未达目的即彻底抛弃。
51,恶有恶报,2,Hong Kong - Macau politics,《孟子·离娄下》：“仲尼不为已甚者。”,比喻不学之人，如面对墙壁而立，一无所见。,2,è yǒu è bào,"""Mencius: Li Lou Xia"": ""Zhong Ni does not do anything worse.""",The metaphor is that a person who does not learn is like standing facing a wall and seeing nothing.,然而，“善有善报，恶有恶报”。
52,恩德如山,1,mainland China politics,《诗经·小雅·小弁》：“维桑与梓，必恭敬之。”,亲眼看到，亲耳听到。,1,ēn dé rú shān,"""Book of Songs, Xiaoya, Xiaobian"": ""Weisang and Zi will be respected.""",See with your own eyes and hear with your own ears.,彭德怀同志感慨，人民恩德如山。回溯近百年来栉风沐雨、攻坚克难的苦难辉煌征程，正因秉持立党为公、执政为民的价值理念，我们党从人民群众中汲取了无穷力量，创造了举世瞩目的中国奇迹；正因坚守一切为了人民、紧紧依靠人民，我们党凝聚起同心筑梦的澎湃动力，不断书写着伟大事业新篇章。
53,定于一尊,6,culture,南朝宋·鲍照《河清颂》：“亘古通今，明鲜晦多。”,弥缝：补救；阙：过错。补救行事的过失。,3,dìng yú yī zūn,"In the Song Dynasty of the Southern Dynasties, Bao Zhao's ""Ode to the Qinghe River"": ""The ancient times are connected to the present, and there are many bright and dark colors.""",Mizi: remedy; Que: fault. Remedy the faults of acting.,加强党的组织建设，根本目的是坚持和加强党的全面领导，为推进中国特色社会主义事业提供坚强保证。是否有利于坚持和完善党的领导、坚持和发展中国特色社会主义，是衡量组织建设成效的根本标准。新时代党的组织建设，根本在于建立健全确保党领导一切的严密组织体系，教育引导全党自觉在思想上政治上行动上同以习近平同志为核心的党中央保持高度一致，维护党中央定于一尊、一锤定音的权威；培养选拔善于坚持和发展中国特色社会主义的高素质执政骨干，集聚爱国奉献的各方面优秀人才，为夺取新时代中国特色社会主义新胜利提供坚强组织保证。
54,堤溃蚁穴,3,mainland China politics,晋·王羲之《题卫夫人笔陈图后》：“时年五十有三，或恐风烛奄及，聊遗教于子孙耳。”,写人-德才-⑵志气-有为,2,dī kuì yǐ xué,"Jin Wang Xizhi's ""After Mrs. Wei's Pen Chen Tu"": ""At the age of fifty or three, I may be afraid of the wind and candles, and I will talk about the legacy and teach it to my descendants.""",Writing about people - Virtue and talent - (2) Ambition - Promising,法律面前人人平等，监督面前没有例外，一把尺子量到底，为的就是做坏的预设，确保好的结果。信任不能代替监督，自我打包票也不能替代他人监督。对自己的党性和政德有自信固然好，但自信并不妨碍接受监督。值得警惕的是，过分的自信就是自负，不习惯在监督下成长进步，就可能小错酿成大错，小问题变成大麻烦。试看那些落马官员从“好同志”向“阶下囚”的滑落轨迹，多少人都曾是能力出众、深受好评的好干部，但就是因为不愿接受纪律规矩约束，不断逃避党纪国法监督，结果堤溃蚁穴，在违法乱纪的不归路上跌了跟头。
55,登高望远,40,mainland China politics,《尚书·盘庚上》：“若农服田力穑，乃亦有秋。”,写事-情况-⑶经济-流通,4,dēng gāo wàng yuǎn,"""Shangshu, Pangeng Shang"": ""If the farmers wear Tian Liyu, there will also be autumn.""",Writing - Situation - (3) Economy - Circulation,在保护主义、单边主义抬头，经济全球化遭遇波折之际，习近平主席登高望远指明“经济全球化是历史潮流”，指出“大江大河奔腾向前的势头是谁也阻挡不了的”。
56,斗而铸锥,1,None,元·关汉卿《钱大尹智勘绯衣梦》第四折：“俺这里有个裴炎，好生方头不劣。”,写事-对立-⑸异同-异,1,dòu ér zhù zhuī,"Yuan Guan Hanqing's ""Qian Dayin Zhikan Feiyi Dream"" 4th fold: ""I have Pei Yan here, and a good birth is not bad.""",Writing about things-opposites-(5) similarities and differences-differences,None
57,重峦叠嶂,1,None,汉·史游《急就篇》卷一：“罗列诸物名姓字，分别部居不杂厕。”,写人-经历-⑴经历-婚恋,1,chóng luán dié zhàng,"Han Shiyou's ""Ji Jiu Pian"" Volume 1: ""List the names and surnames of various things, and separate them from the restrooms.""",Writing about people - Experiences - (1) Experiences - Marriage,None
58,橙黄橘绿,1,culture,《元史·世祖五》：“癸丑，初建东宫，甲寅，诛西京讹言惑众者。”,比喻人读书多，学识文博。,1,chéng huáng jú lǜ,"""Yuan Shi, Shizu Five"": ""Gui Chou, who built the East Palace at the beginning, Jiayin, punishes those who misrepresent and confuse the public in Xijing.""",It is a metaphor for a person who reads a lot and is knowledgeable in literature.,提升公众科学素养，让科普更接地气，必将剥开“伪科技”的外衣，种种“神器”也就没有市场。 橙黄橘绿好时节，又是一个丰收年。
