,Chengyu,Explanation
360,光明磊落,"Feminine yellow: that is, the cockle, in the past, writing with yellow paper, write wrongly, then rewrite with froth coated with feminine yellow. To change something improperly said at will. It is a metaphor for inconsistency in speech and lack of certain insight."
361,显而易见,Writing events - state of affairs - (2) changes - changes appear
362,天翻地覆,The frog in the waste well. A metaphor for people who have seen little.
363,另起炉灶,Writing about people - Virtue and talent - (26) Stupidity - shallow opinion
364,东张西望,A very small part of a precious object
365,吹毛求疵,It is a metaphor for taking others' words as a deaf ear.
366,捕风捉影,"Metaphorically speaking, a slight disturbance or disturbance."
367,咬文嚼字,The analogy is that the previous failure can be used as a lesson for the future.
368,孤芳自赏,A fish swimming in a pot. A metaphor for not living long
369,一言九鼎,It is a metaphor for the great difference in status.
370,扶摇直上,"Originally, it refers to a young man wearing light green clothes. Later, it refers to a young man who speaks of decoration."
371,避重就轻,"Sub: order, rank; bit: position, status. Refers to the awarding of important positions to talented people regardless of rank"
372,单枪匹马,Writing about people - experiences - (3) situations - good situations
373,无可奈何,Climbing through the wall. Burglars who drill holes and climb walls.
374,溜之大吉,Writing about people-appellation-_-Thief
375,齐心协力,It means full of poetry and good at producing good lines.
376,同甘共苦,It refers to a scholar who has not obtained merit.
377,一目了然,Writing - Situation - (3) Economy - Circulation
378,舍己为人,Writing about people - virtue and talent - (13) talent - talent
379,一成不变,A metaphor for meager financial support.
380,一网打尽,Writing-Interaction-_-(4) Activities
381,满载而归,Grief for our parents and ancestors
382,斩钉截铁,Under the Woods: a secluded place; Style: poise. It refers to the woman's elegant attitude and graceful demeanor.
383,照本宣科,A store that sells salted fish. A metaphor for a place where bad people pile up.
384,不劳而获,Writing objects - Geography - _ - Dangerous places
385,一目十行,"Originally, it refers to people whose words and deeds are outside of the worldly rituals. Later, it refers to monks and Taoists."
386,殊途同归,Writing about people - Address - (3) identity occupation - occupation
387,登峰造极,It refers to missing distant wives and friends and looking forward to meeting them. Generally refers to the gathering of family and friends
388,宁死不屈,A fellowship of one or three. Refers to the lack of fellowship.
389,百年大计,Writing - Interaction -_- (2) shallow intercourse
390,集思广益,Defeated: worn out. Broken drum skin can be used as medicine. It is a metaphor for something that looks cheap on the surface but is useful
391,长驱直入,The eight sides of the wilderness far beyond. Describe as extremely far away.
392,一鼓作气,Describe as extremely solid.
393,无能为力,Describe the infinite beautiful scenery.
394,不毛之地,Writing objects-The sky-_-Star and moon
395,横行霸道,The fish rots from the guts. The metaphor is that the country perishes due to internal disasters.
396,随机应变,Writing about people - Virtue and talent - (15) mediocrity - mediocrity
397,明明白白,To love a person so much that you love the ravens on his house. It is a metaphor for loving a person and caring for the people or things related to him.
398,虚情假意,Ear food: Eating by ear. Refers to rumors that have no conclusive basis and have not been thoughtfully analyzed
399,至高无上,"Thunder: Loud thunder. A thunderclap on a clear day. It is a metaphor for the sudden occurrence of unexpected, shocking events."
400,五光十色,With the will to get success smoothly.
401,苦心经营,"The metaphor is that although the technology is high, it is not practical."
402,欢天喜地,"Writing about events - state of affairs - (3) results - opposite, inconsistent"
403,身败名裂,Changting: refers to the pavilion chief of Nanchang. The original refers to the place where Han Xin lived in Nanchang pavilion before he defected to Liu Bang.
404,饥不择食,All the people in the same boat have become enemies. The metaphor is that everyone is against each other and very isolated.
405,千载难逢,A metaphor for someone who is short-sighted.
406,念念不忘,Measure: predict; worry: worry. Refers to an unexpected scourge
407,源远流长,Refers to land that cannot be cultivated.
408,顶天立地,Writing objects-geography-_-earth
409,形形色色,The term refers to friends made in childhood.
410,无所适从,Writing things - Interaction -_- (1) Deep friendship
411,万无一失,A metaphor for a son or nephew who can shine in the family.
412,铤而走险,It expresses the people's expectation that the officials are fair and clean.
413,兴师动众,Writing about people - experiences - (1) experiences - achievements
414,绰绰有余,"Vow: covenant, promise. Refers to a woman who is widowed and keeps her promise not to marry"
415,积少成多,Writing things-opposition-(7) safety and danger-danger
416,兴风作浪,"Pouring oil on the fire. The metaphor is that the matter is not handled properly, but makes the situation more serious."
417,借题发挥,"Writing about events - state of affairs - (3) results - opposite, inconsistent"
418,改头换面,"Chu Heaven: the sky of Chu; Cloud and Rain: a metaphor for male and female lovemaking. It refers to the goddess of Wushan, or the joyful love between men and women"
419,因势利导,"Hairpin and tassel: In ancient times, the crown ornaments of officials and noblemen. Referring to the family of officials for generations"
420,无中生有,"Team of four horses: The four horses driven by one cart. A high-covered carriage with a set of four horses. In the old days, it described the magnificent scene when powerful people traveled. It also describes the prominent and wealthy."
421,天花乱坠,Writing about people - Address - (3) Identity occupation - Nobility
422,虚张声势,"Describe the popularity of other people's writings, widely circulated"
423,和盘托出,The era of peace and prosperity.
424,一团和气,Writing about things-situation-(1) worldly ways-prosperity
425,瞻前顾后,Write object-object-_-object
426,养尊处优,"The old society was politically corrupt and the officialdom was dark, and nothing could be done without bribes."
427,放任自流,Refers to a statement that is hidden in the heart and not spoken.
428,背井离乡,Writing - state of affairs - (1) act - misconduct
429,四通八达,"Dou: a container, one dou = ten liters; Xiao: a bamboo vessel, with a capacity of one dou and two liters. Describe people's narrow-mindedness and short-sightedness"
430,不屈不挠,"Panting: panting; Wu: the name of the place. The buffaloes in Wu were afraid of the heat, and when they saw the moon and thought it was the sun, they were so afraid that they gasped for breath. The metaphor is to fear its analogue because it suffers from something"
431,切肤之痛,Writing about people - virtues and talents - (12) unity - help
432,正大光明,It is a metaphor for a person whose name is not true. It is also used to mock people's incompetence.
